CONSTITUENCY,WINNER,PARTY,STATE,YEAR
ROSERA (SC),RAM BHAGAT PASWAN,INC,Bihar,1984
SAMASTIPUR,RAMDEO RAI,INC,Bihar,1984
BARH,PRAKASH CHANDRA,INC,Bihar,1984
BALIA,CHANDRA BHANU DEVI,INC,Bihar,1984
SAHARSA,CHANDRA KISHORE PATHAK,INC,Bihar,1984
MADHEPURA,MAHABIR PRASAD YADAV,INC,Bihar,1984
ARARIA (SC),DOOMAR LAL BAITHA,INC,Bihar,1984
KISHANGANJ,JAMILUR RAHMAN,INC,Bihar,1984
PURNEA,MADHUREE SINGH,INC,Bihar,1984
KATIHAR,TARIQ ANWAR,INC,Bihar,1984
RAJMAHAL (ST),SETH HEMBROM,INC,Bihar,1984
DUMKA (ST),PRITHIWI CHAND KISKU,INC,Bihar,1984
GODDA,SAMINUDDIN,INC,Bihar,1984
BANKA,MANORMA SINGH,INC,Bihar,1984
BHAGALPUR,BHAGWAT JHA AZAD,INC,Bihar,1984
KHAGARIA,CHANDRA SHEKHAR PRASAD VERMA,INC,Bihar,1984
MONGHYR,DEVENDRA PD. YADAV,INC,Bihar,1984
BEGUSARAI,KRISHNA SHAHI,INC,Bihar,1984
NALANDA,VIJAY KUMAR YADAV,CPI,Bihar,1984
PATNA,C. P. THAKUR,INC,Bihar,1984
ARRAH,BALI RAM BHAGAT,INC,Bihar,1984
BUXAR,KAMLA KANT TIWARI,INC,Bihar,1984
SASARAM (SC),JAGJIWAN RAM,ICJ,Bihar,1984
BIKRAMGANJ,TAPESHWAR SINGH,INC,Bihar,1984
AURANGABAD,SATYENDRA NARAIN SINGH,INC,Bihar,1984
JAHANABAD,RAMASHARAY PD. SINGH,CPI,Bihar,1984
NAWADA (SC),KUNWAR RAM,INC,Bihar,1984
GAYA (SC),RAM SWAROOP RAM,INC,Bihar,1984
CHATRA,YOGESHWAR PRASAD YOGESH,INC,Bihar,1984
KODARMA,TILAK DHARI SINGH,INC,Bihar,1984
GIRIDIH,SARFRAJ AHMED,INC,Bihar,1984
DHANBAD,SHANKAR DAYAL SINGH,INC,Bihar,1984
HAZARIBAGH,DAMODAR PANDEY,INC,Bihar,1984
RANCHI,SHEO PRASAD SAHU,INC,Bihar,1984
JAMSHEDPUR,GOPESHWAR,INC,Bihar,1984
SINGHBHUM (ST),BEGUN SUMBRUI,INC,Bihar,1984
KHUNTI (ST),SIMON TIGGA,INC,Bihar,1984
LOHARDAGA (ST),SUMATI ORAON,INC,Bihar,1984
PALAMAU (SC),KAMLA KUMARI,INC,Bihar,1984
PANAJI,SHANTARAM L. NAIK,INC,Goa Daman & Diu,1984
MORMUGAO,EDUARDO FALEIRO,INC,Goa Daman & Diu,1984
KUTCH,USHABEN RAGHAVJI THAKKAR,INC,Gujarat,1984
SURENDRANAGAR,JHALA DIGIVIJAYSINHJI PRATAPSINHJI,INC,Gujarat,1984
JAMNAGAR,JADEJA DAULATSINH PARTAP SINH,INC,Gujarat,1984
RAJKOT,MAVANI RAMABEN RAMJIBHAI,INC,Gujarat,1984
PORBANDAR,ODEDARA BHARATBHAI MALDEVJI,INC,Gujarat,1984
JUNAGADH,PATEL MOHANBHAI LALJIBHAI,INC,Gujarat,1984
AMRELI,RAVANI NAVINCHANDRABHAI PARMANANDDAS,INC,Gujarat,1984
BHAVNAGAR,GOHIL GIGABHAI BHAVUBHAI,INC,Gujarat,1984
DHANDHUKA (SC),NARSINHBHAI KARSANBHAI MAKWANA,INC,Gujarat,1984
AHMEDABAD,HAROOBHAI MEHTA,INC,Gujarat,1984
GANDHINAGAR,G.I.PATEL,INC,Gujarat,1984
MEHSANA,A.K.PATEL,BJP,Gujarat,1984
PATAN (SC),VANKAR PUNAMCHAND MITHABHAI,INC,Gujarat,1984
BANASKANTHA,B.K.GADHVI,INC,Gujarat,1984
SABARKANTHA,H.M.PATEL,JNP,Gujarat,1984
KAPADVANJ,SOLANKI NATAVERSINGH KESARISINGHJI,INC,Gujarat,1984
DOHAD (ST),DAMOR SOMJIBHAI PUNJABHAI,INC,Gujarat,1984
GODHRA,JAYDEEPSINHJI,INC,Gujarat,1984
KAIRA,AJITSINH FULSINHJI DYABHAI,INC,Gujarat,1984
ANAND,ISHVERBHAI KHODABHAI CHAVADA,INC,Gujarat,1984
CHHOTA UDAIPUR (ST),RATHWA AMARSINH VIRIYABHAI,INC,Gujarat,1984
BARODA,GAEKWAD RANJITSINH PRATAPSHINH,INC,Gujarat,1984
BROACH,PATEL AHMEDBHAI MOHAMMEDBHAI,INC,Gujarat,1984
SURAT,PATEL CHHAGANBHAI DEVABHAI,INC,Gujarat,1984
MANDVI (ST),GAMIT CHHITUBHAI DEVJIBHAI,INC,Gujarat,1984
BULSAR (ST),PATEL UTTAMBHAI HARJIBHAI,INC,Gujarat,1984
AMBALA (SC),RAM PRAKASH,INC,Haryana,1984
KURUKSHETRA,HARPAL SINGH,INC,Haryana,1984
KARNAL,CHIRANJI LAL,INC,Haryana,1984
SONEPAT,DHARAM PAL SINGH,INC,Haryana,1984
ROHTAK,HARDWARI LAL,INC,Haryana,1984
FARIDABAD,RAHIM KHAN,INC,Haryana,1984
MAHENDRAGARH,BIRENDER SINGH,INC,Haryana,1984
BHIWANI,BANSI LAL,INC,Haryana,1984
HISSAR,BIRINDER SINGH,INC,Haryana,1984
SIRSA (SC),DALBIR SINGH,INC,Haryana,1984
SIMLA (SC),KRISHAN DUTT SULTANPURI,INC,Himachal Pradesh,1984
MANDI,SUKH RAM,INC,Himachal Pradesh,1984
KANGRA,CHANDRESH KUMARI,INC,Himachal Pradesh,1984
HAMIRPUR,NARAIN CHAND,INC,Himachal Pradesh,1984
BARAMULLA,SAIF -UD- DIN SOZ,JKN,Jammu Kashmir,1984
SRINAGAR,ABDUL RASHID KABULI,JKN,Jammu Kashmir,1984
ANANTNAG,AKBAR JAHAN BEGUM,JKN,Jammu Kashmir,1984
LADAKH,PHUNTSOG NAMGYAL,INC,Jammu Kashmir,1984
UDHAMPUR,GIRDHARI LAL DOGRA,INC,Jammu Kashmir,1984
JAMMU,JANAK RAJ GUPTA,INC,Jammu Kashmir,1984
BIDAR (SC),NASING SURYAVANSI,INC,Karnataka,1984
GULBARGA,VEERENIRA PATIL,INC,Karnataka,1984
RAICHUR,B. V. DESAI,INC,Karnataka,1984
KOPPAL,H. G. RAMULU,INC,Karnataka,1984
BELLARY,BASAVARAJESWARI,INC,Karnataka,1984
DAVANGERE,CHANNAIAH ODEYAR,INC,Karnataka,1984
CHITRADURGA,K. H. RANGANATH,INC,Karnataka,1984
TUMKUR,G. S. BASAVARAJU,INC,Karnataka,1984
CHIKBALLAPUR,V. KRISHNA RAO,INC,Karnataka,1984
KOLAR (SC),V. VENKATESH,JNP,Karnataka,1984
KANAKAPURA,M. V. CHANDRASHEKARA MURTHY,INC,Karnataka,1984
BANGALORE NORTH,C. K. JAFFER SHARIEF,INC,Karnataka,1984
BANGALORE SOUTH,V. S. KRISHNA IYER,JNP,Karnataka,1984
MANDYA,K. V. SHANKARAGOWDA,JNP,Karnataka,1984
CHAMARAJANAGAR (SC),V. SREENIVASA PRASAD,INC,Karnataka,1984
MYSORE,SRIKANTADATTA NARASIMHARAJA WADIYAR,INC,Karnataka,1984
MANGALORE,JANARDHANA POOJARY,INC,Karnataka,1984
UDUPI,OSCAR FERNANDES,INC,Karnataka,1984
HASSAN,H. N. NANJEGOWDA,INC,Karnataka,1984
CHIKMAGALUR,D. K. TARADEVI,INC,Karnataka,1984
SHIMOGA,T. V. CHANDRASHEKARAPPA,INC,Karnataka,1984
KANARA,G. DEVARAY NAIK,INC,Karnataka,1984
DHARWAD SOUTH,AZEEZ SAIT,INC,Karnataka,1984
DHARWAD NORTH,NAIKAR DYAMAPPA KALLAPPA,INC,Karnataka,1984
BELGAUM,SIDNAL SHANMUKHAPPA BASAPPA,INC,Karnataka,1984
CHIKKODI (SC),B. SHANKARANAD,INC,Karnataka,1984
BAGALKOT,PATIL HANMANTAGOUDA BHIMANAGOUDA,INC,Karnataka,1984
BIJAPUR,GURADDI SHIVASHANKAREPPA MALLAPPA,JNP,Karnataka,1984
KASARAGOD,I. RAMA RAI,INC,Kerala,1984
CANNANORE,MULIAPPALLI RAMACHANDRAN,INC,Kerala,1984
BADAGARA,K. P. UNNIKRISHNAN,ICS,Kerala,1984
CALICUT,K. G. ADIYODI,INC,Kerala,1984
MANJERI,EBRAHIM SULAMAN SAIT,MUL,Kerala,1984
PONNANI,G. M. BANATWALLA,MUL,Kerala,1984
PALGHAT,V. S. VIJAYARAGHAVAN,INC,Kerala,1984
OTTAPALAM (SC),K. R. NARAYANAN,INC,Kerala,1984
TRICHUR,P. A. ANTONY,INC,Kerala,1984
MUKUNDAPURAM,K. MOHANDAS,KCJ,Kerala,1984
ERNAKULAM,K. V. THOMAS,INC,Kerala,1984
MUVATTUPUZHA,GEORGE JOSEPH MUNDAKKAL (BABY),KCJ,Kerala,1984
KOTTAYAM,SURESH KURUP,CPM,Kerala,1984
IDUKKI,P. J. KURIAN,INC,Kerala,1984
ALLEPPEY,VAKKON PURUSHOTHAMAN,INC,Kerala,1984
MAVELIKARA,THAMPAN THOMAS,JNP,Kerala,1984
ADOOR (SC),K. K. KUNHAMBU,INC,Kerala,1984
QUILON,S. KRISHNA KUMAR,INC,Kerala,1984
CHIRAYINKIL,THALEKKUNNIL BASHEER,INC,Kerala,1984
TRIVANDRUM,A. CHARLES,INC,Kerala,1984
MORENA (SC),KAMMODILAL JATAV,INC,Madhya Pradesh,1984
BHIND,KRISHNA SINGH,INC,Madhya Pradesh,1984
GWALIOR,MADHAVRAO JIWAJIRAO SCINDIA,INC,Madhya Pradesh,1984
GUNA,MAHENDRA SINGH,INC,Madhya Pradesh,1984
SAGAR (SC),NANDLAL CHOUDHARY,INC,Madhya Pradesh,1984
KHAJURAHO,CHATURVEDI VIDYAWATI,INC,Madhya Pradesh,1984
DAMOH,DAL CHANDRA JAIN,INC,Madhya Pradesh,1984
SATNA,AZIZ QURESHI,INC,Madhya Pradesh,1984
REWA,MARTAND SINGH,INC,Madhya Pradesh,1984
SIDHI (ST),MOTILAL SINGH,INC,Madhya Pradesh,1984
SHAHDOL (ST),DALBIR SINGH,INC,Madhya Pradesh,1984
SURGUJA (ST),VIJAI PRATAP SINGH,INC,Madhya Pradesh,1984
RAIGARH (ST),PUSHPA DEVI,INC,Madhya Pradesh,1984
JANJGIR,PRABHAT KUMAR MISHRA,INC,Madhya Pradesh,1984
BILASPUR (SC),KHELAN RAM JANGDE,INC,Madhya Pradesh,1984
SARANGARH (SC),PARASRAM BHARADWAJ,INC,Madhya Pradesh,1984
RAIPUR,KAIYUR BHUSHAN,INC,Madhya Pradesh,1984
MAHASAMUND,VIDYACHARAN SHUKLA,INC,Madhya Pradesh,1984
KANKER (ST),ARVIND NETAM,INC,Madhya Pradesh,1984
BASTAR (ST),MANKURAM SODI,INC,Madhya Pradesh,1984
DURG,CHANDULAL CHANDRAKAR,INC,Madhya Pradesh,1984
RAJNANDGAON,SHIVENDRA BAHADUR SINGH,INC,Madhya Pradesh,1984
BALAGHAT,NANDKISHORE SHARMA,INC,Madhya Pradesh,1984
MANDLA (ST),MOHAN LAL,INC,Madhya Pradesh,1984
JABALPUR,AJAY NARAYAN MUSHRAN,INC,Madhya Pradesh,1984
SEONI,GARGISHANKER MISHRA,INC,Madhya Pradesh,1984
CHHINDWARA,KAMAL NATH,INC,Madhya Pradesh,1984
BETUL,ASLAM SHERKHAN,INC,Madhya Pradesh,1984
HOSHANGABAD,RAMESHWAR NIKHRA,INC,Madhya Pradesh,1984
BHOPAL,K. N. PRADHAN,INC,Madhya Pradesh,1984
VIDISHA,PRATAPBHANU KRISHNA GOPAL,INC,Madhya Pradesh,1984
RAJGARH,DIGVIJAI SINGH,INC,Madhya Pradesh,1984
SHAJAPUR (SC),BAPULAL MALVIYA,INC,Madhya Pradesh,1984
KHANDWA,KALICHARAN RAMRATAN,INC,Madhya Pradesh,1984
KHARGONE,SUBHASH YADAV,INC,Madhya Pradesh,1984
DHAR (ST),PRATAPSINGH BAGHEL,INC,Madhya Pradesh,1984
INDORE,PRAKASH CHAND SETHI,INC,Madhya Pradesh,1984
UJJAIN (SC),SATYANARAYAN PAWAR,INC,Madhya Pradesh,1984
JHABUA (ST),DILEEP SINGH BHURIO,INC,Madhya Pradesh,1984
MANDSAUR,BALKAVI BAIRAGI (NANDRAMDAS DWARK,ADAS) INC,Madhya Pradesh,1984
RAJAPUR,MADHU DANDAVATE,JNP,Maharastra,1984
RATNAGIRI,HUSEN DALWAI,INC,Maharastra,1984
KOLABA,D. B. PATIL,PWP,Maharastra,1984
BOMBAY SOUTH,DEORA MURLI,INC,Maharastra,1984
BOMBAY SOUTH CENTRAL,DATTA SAMANT,IND,Maharastra,1984
BOMBAY NORTH CENTRAL,DIGHE SHARAD SHANKAR,INC,Maharastra,1984
BOMBAY NORTH EAST,GURUDAS KAMAT,INC,Maharastra,1984
BOMBAY NORTH WEST,SUNIL DUTT,INC,Maharastra,1984
BOMBAY NORTH,ANOOPCHAND KHIMCHAND SHAH,INC,Maharastra,1984
THANE,GHOPAL SHANTARAM GOPAL,INC,Maharastra,1984
DAHANU (ST),SHINGADA DAMU BARKU,INC,Maharastra,1984
NASHIK,MANE MURLIDHAR PANDURANG,INC,Maharastra,1984
MALEGAON (ST),BHOYE SITARAM SAYAJI,INC,Maharastra,1984
DHULE (ST),BHOYE RESHAMA MOTIRAM,INC,Maharastra,1984
NANDURBAR (ST),GAVIT MANIKRAO HOLDYA,INC,Maharastra,1984
ERANDOL,VIJAYKUMAR NAVAL PATIL,INC,Maharastra,1984
JALGAON,MAHAJAN YADAV SHIVRAM,INC,Maharastra,1984
BULDHANA (SC),WASNIK MUKUL BALKRISHNA,INC,Maharastra,1984
AKOLA,MADHUSUDAN ATMARAM VAIRALE,INC,Maharastra,1984
WASHIM,GHULAM NABI AZAD,INC,Maharastra,1984
AMRAVATI,CHOUDHARY USHATAI PRAKASH,INC,Maharastra,1984
RAMTEK,NARSIMHA RAO P. V.,INC,Maharastra,1984
NAGPUR,BANWARILAL BHAGWANDAS PUROHIT,INC,Maharastra,1984
BHANDARA,KESHAORAO ATMARAMJI PARDHI,INC,Maharastra,1984
CHIMUR,MUTTEMWAR VILAS BABURAO,INC,Maharastra,1984
CHANDRAPUR,POTDUKHE SHANTARAM RAJESHWAR,INC,Maharastra,1984
WARDHA,SATHE VASANT PURUSHOTTAM,INC,Maharastra,1984
YAVATMAL,PATIL UTTAMRAO DEORAO,INC,Maharastra,1984
HINGOLI,RATHODE UTTAMRAOJI BALIRAMJI,INC,Maharastra,1984
NANDED,CHAVAN SHANKARRAO BHURAO,INC,Maharastra,1984
PARBHANI,YADAV RAMRAO NARAYANRAO,INC,Maharastra,1984
JALNA,BALASAHEB RAMRAO PAWAR,INC,Maharastra,1984
AURANGABAD,SAHEBRAO P.DONGAONKAR,ICS,Maharastra,1984
BEED,KSHIRSAGAR KEHSARBAI SONAJIRAO,INC,Maharastra,1984
LATUR,PATIL SHIVRAJ VISHWANATH,INC,Maharastra,1984
OSMANABAD (SC),ARVIND TULSHIRAMJI KAMBLE,INC,Maharastra,1984
SHOLAPUR,KUCHAN GANGADHAR SINRAMAPPA,INC,Maharastra,1984
PANDHARPUR (SC),THORAT SANDIPAN BHAGWAN,INC,Maharastra,1984
AHMEDNAGAR,GADAKH YESHWANTRAO KANKARRAO,INC,Maharastra,1984
KOPARGAON,VIKHE EKNATHRAO ALIAS BALESAHEB VITHALRAO,INC,Maharastra,1984
KHED,RAMKRISHNA MORE,INC,Maharastra,1984
PUNE,GADIL VITHALRAO NARHARI,INC,Maharastra,1984
BARAMATI,PAWAR SHARADCHANDRA GOVINDRAO,ICS,Maharastra,1984
SATARA,BHOSALE PRATAPRAO BABURAO,INC,Maharastra,1984
KARAD,CHAVAN PREMALABAI DAJISAHEB,INC,Maharastra,1984
SANGLI,PATIL PRAKASH VASANTRAO,INC,Maharastra,1984
ICHALKARANJI,MANE BALASO ALIAS RAJARAM SHANKARRAO,INC,Maharastra,1984
KOLHAPUR,GAIKWAD UDAYSINGRAO NANASAHEB,INC,Maharastra,1984
INNER MANIPUR,N.TOMBI SINGH,INC,Manipur,1984
OUTER MANIPUR (ST),MEIJINLUNG,INC,Manipur,1984
SHILLONG,G.G.SWELL,INC,Meghalaya,1984
TURA,PURNO AGITOK SANGMA,INC,Meghalaya,1984
NAGALAND,CHINGWANG,INC,Nagaland,1984
MAYURBHANJ (ST),SIDHALAL MURMU,INC,Orissa,1984
BALASORE,CHINTAMANI JENA,INC,Orissa,1984
BHADRAK (SC),ANANTA PRASAD SETHI,INC,Orissa,1984
JAJPUR (SC),ANADI CHARAN DAS,INC,Orissa,1984
KENDRAPARA,BIJAYANANDA PATTNAIK,JNP,Orissa,1984
CUTTACK,JAYANTI PATTANIK,INC,Orissa,1984
JAGATSINGHPUR,LAKSHMAN MALLICK,INC,Orissa,1984
PURI,BRAJAMOHAN MOHENTY,INC,Orissa,1984
BHUBANESWAR,CHINTAMONI PANIGRAHI,INC,Orissa,1984
ASKA,SOMNATH RATH,INC,Orissa,1984
BERHAMPUR,R.JAGANNATH RAO,INC,Orissa,1984
KORAPUT (ST),GRIDHAR GOMANGO,INC,Orissa,1984
NOWRANGPUR (ST),KHAGAPATI PRADHANI,INC,Orissa,1984
KALAHANDI,JAGANNATH PATNAIK,INC,Orissa,1984
PHULBANI (SC),RADHA KANTA DIGAL,INC,Orissa,1984
BOLANGIR,NITYANAND MISRA,INC,Orissa,1984
SAMBALPUR,KRUPASINDHU BHOI,INC,Orissa,1984
DEOGARH,SRIBALLAV PANIGRAHI,INC,Orissa,1984
DHENKANAL,RAJA KAMAKHYA PRASAD SINGH DEO MAHINDRA BAHADUR,INC,Orissa,1984
SUNDARGARH (ST),MAURICE KUJUR,INC,Orissa,1984
KEONJHAR (ST),HARINDER SOREN,INC,Orissa,1984
GANGANAGAR (SC),BIRBAL,INC,Rajasthan,1984
BIKANER,MANPHOOL SINGH,INC,Rajasthan,1984
CHURU,MOHAR SINGH,INC,Rajasthan,1984
JHUNJHUNU,MOHD. AYUB KHAN,INC,Rajasthan,1984
SIKAR,BAL RAM,INC,Rajasthan,1984
JAIPUR,NAWAL KISHORE SHARMA,INC,Rajasthan,1984
DAUSA,RAJESH PILOT,INC,Rajasthan,1984
ALWAR,RAM SINGH YADEV,INC,Rajasthan,1984
BHARATPUR,K.NATWAR SINGH,INC,Rajasthan,1984
BAYANA (SC),LALA RAM KEN,INC,Rajasthan,1984
SAWAI MADHOPUR (ST),RAM KUMAR,INC,Rajasthan,1984
AJMER,VISHNU KUMAR MODI,INC,Rajasthan,1984
TONK (SC),BANWARI LAL,INC,Rajasthan,1984
KOTA,SHANTI KUMAR DHARIWAL,INC,Rajasthan,1984
JHALAWAR,JUJHARSINGH,INC,Rajasthan,1984
BANSWARA (ST),PRABHULAL RAWAT,INC,Rajasthan,1984
SALUMBER (ST),ALKHA RAM,INC,Rajasthan,1984
UDAIPUR,INDUBALA SUKHADIA,INC,Rajasthan,1984
CHITTORGARH,NIRMLA KUMARI,INC,Rajasthan,1984
BHILWARA,GIRDHARI LAL VYAS,INC,Rajasthan,1984
PALI,MOOL CHAND DAGA,INC,Rajasthan,1984
JALORE (SC),BUTA SINGH,INC,Rajasthan,1984
BARMER,VIRDHI CHAND,INC,Rajasthan,1984
JODHPUR,ASHOK GEHLOT,INC,Rajasthan,1984
NAGAUR,RAM NIWAS,INC,Rajasthan,1984
SIKKIM,NAR BHADUR BHANDARI,IND,Sikkim,1984
MADRAS NORTH,N.V.N.SOMU,DMK,Tamil Nadu,1984
MADRAS CENTRAL,KALANIDHI A.,DMK,Tamil Nadu,1984
MADRAS SOUTH,VYJAYANTHIMALA,INC,Tamil Nadu,1984
SRIPERUMBUDUR (SC),MARAGATHAM CHANDRASEKHAR,INC,Tamil Nadu,1984
CHENGALPATTU,S. JAGATHRAKSHAKAN,ADK,Tamil Nadu,1984
ARAKKONAM,R. JEEVARATHINAM,INC,Tamil Nadu,1984
VELLORE,A.C. SHANMUGAM,ADK,Tamil Nadu,1984
TIRUPPATTUR,JAYAMOHAN A.,INC,Tamil Nadu,1984
VANDAVASI,BALARAMAN L.,INC,Tamil Nadu,1984
TINDIVANAM,S.S. ERAMASAMY PADAYATCHI,INC,Tamil Nadu,1984
CUDDALORE,VENKATESAN P.R.S.,INC,Tamil Nadu,1984
CHIDAMBARAM (SC),VALLALPERUMAN P.,INC,Tamil Nadu,1984
DHARMAPURI,M. THAMBI DURIAI,ADK,Tamil Nadu,1984
KRISHNAGIRI,K. RAMAMURTHI,INC,Tamil Nadu,1984
RASIPURAM (SC),DEVARAJAN B.,INC,Tamil Nadu,1984
SALEM,RANGARAJAN KUMAR MANGALAM,INC,Tamil Nadu,1984
TIRUCHENGODE,KANNAN P.,ADK,Tamil Nadu,1984
NILGIRIS,R.PRABHU,INC,Tamil Nadu,1984
GOBICHETTIPALAYAM,KHOLANDAIVELU P.,ADK,Tamil Nadu,1984
COIMBATORE,KUPPUSWAMY C. K.,INC,Tamil Nadu,1984
POLLACHI (SC),ANNA NAMBI R.,ADK,Tamil Nadu,1984
PALANI,SENAPATHY GOUNDER A.,INC,Tamil Nadu,1984
DINDIGUL,K.R. NATARAJAN,ADK,Tamil Nadu,1984
MADURAI,SUBBURAMAN A.G.,INC,Tamil Nadu,1984
PERIYAKULAM,SELVENDRAN P.,ADK,Tamil Nadu,1984
KARUR,MURUGAIAH A. R.,INC,Tamil Nadu,1984
TIRUCHIRAPPALLI,ADAIKALARAJ,INC,Tamil Nadu,1984
PERAMBALUR (SC),S. THANGARAJU,ADK,Tamil Nadu,1984
MAYILADUTURAI,PAKEER MOHAMED E.S.M.,INC,Tamil Nadu,1984
NAGAPATTINAM (SC),"MAHALINGAM, M.",ADK,Tamil Nadu,1984
THANJAVUR,SINGARAVADIVEL,INC,Tamil Nadu,1984
PUDUKKOTTAI,SUNDARARAJ N.,INC,Tamil Nadu,1984
SIVAGANGA,P. CHIDAMBARAM,INC,Tamil Nadu,1984
RAMANATHAPURAM,V. RAJESHWARAN,INC,Tamil Nadu,1984
SIVAKASI,N. SOUNDARARAJAN,ADK,Tamil Nadu,1984
TIRUNELVELI,M.R. JANARDHANAN,ADK,Tamil Nadu,1984
TENKASI (SC),M. ARUNACHALAM,INC,Tamil Nadu,1984
TIRUCHENDUR,K.T. KOSALRAM,INC,Tamil Nadu,1984
NAGERCOIL,N. DENNIS,INC,Tamil Nadu,1984
TRIPURA WEST,AJOY BISWAS,CPM,Tripura,1984
TRIPURA EAST (ST),BAJU BAN RIYAN,CPM,Tripura,1984
TEHRI GARHWAL,BRAHMA DUTT,INC,Uttar Pradesh,1984
GARHWAL,CHANDRA MOHAN SINGH,INC,Uttar Pradesh,1984
ALMORA,HARISH CHANDRA SINGH,INC,Uttar Pradesh,1984
NAINITAL,SATENDRA CHANDRA,INC,Uttar Pradesh,1984
BIJNOR (SC),GIRDHAR LAL,INC,Uttar Pradesh,1984
AMROHA,RAM PAL SINGH,INC,Uttar Pradesh,1984
MORADABAD,HAFIZ MOHD. SIDDIQUE,INC,Uttar Pradesh,1984
RAMPUR,ZULFIQUAR ALI KHAN,INC,Uttar Pradesh,1984
SAMBHAL,SHANTI DEVI,INC,Uttar Pradesh,1984
BUDAUN,SALEEM IQBAL SHERWANI,INC,Uttar Pradesh,1984
AONLA,KALYAN SINGH SOLANKI,INC,Uttar Pradesh,1984
BAREILLY,ABIDA AHMAD,INC,Uttar Pradesh,1984
PILIBHIT,BHANU PRATAP SINGH,INC,Uttar Pradesh,1984
SHAHJAHANPUR,JITENDRA PRASAD,INC,Uttar Pradesh,1984
KHERI,USHA KUMARI,INC,Uttar Pradesh,1984
SHAHABAD,DHARAMGAJ SINGH,INC,Uttar Pradesh,1984
SITAPUR,RAJENDRA KUMARI,INC,Uttar Pradesh,1984
MISRIKH (SC),SANKATA PRASAD,INC,Uttar Pradesh,1984
HARDOI (SC),KINDAR LAL,INC,Uttar Pradesh,1984
LUCKNOW,SHEILA KAUL,INC,Uttar Pradesh,1984
MOHANLALGANJ (SC),JAGANNATH PD.,INC,Uttar Pradesh,1984
UNNAO,ZIAURRAHMAN ANSARI,INC,Uttar Pradesh,1984
RAE BARELI,ARUN KUMAR NEHRU,INC,Uttar Pradesh,1984
PRATAPGARH,RAJA DINESH SINGH,INC,Uttar Pradesh,1984
AMETHI,RAJIV GANDHI,INC,Uttar Pradesh,1984
SULTANPUR,RAJ KARAN SINGH,INC,Uttar Pradesh,1984
AKBARPUR (SC),RAM PIYARE SUMAN,INC,Uttar Pradesh,1984
FAIZABAD,NIRMAL KHATRI,INC,Uttar Pradesh,1984
BARA BANKI (SC),KAMLA PRASAD,INC,Uttar Pradesh,1984
KAISERGANJ,RANA VIR SINGH,INC,Uttar Pradesh,1984
BAHRAICH,ARIF MOHAMMAD KHAN,INC,Uttar Pradesh,1984
BALRAMPUR,DEEP NARAIN VAN MAHANTH,INC,Uttar Pradesh,1984
GONDA,ANAND SINGH ALIAS ANNU BHAIYA,INC,Uttar Pradesh,1984
BASTI (SC),RAM AWADH PRASAD,INC,Uttar Pradesh,1984
DOMARIAGANJ,KAZI JALIL ABBASI,INC,Uttar Pradesh,1984
KHALILABAD,CHANDRA SHEKHAR,INC,Uttar Pradesh,1984
BANSGAON (SC),MAHAVIR PRASAD,INC,Uttar Pradesh,1984
GORAKHPUR,MADAN PANDEY,INC,Uttar Pradesh,1984
MAHARAJGANJ,JITENDRA SINGH,INC,Uttar Pradesh,1984
PADRAUNA,CHANDRA PRATAP NARAIN SINGH,INC,Uttar Pradesh,1984
DEORIA,RAJMANGAL PANDEY,INC,Uttar Pradesh,1984
SALEMPUR,RAM NAGINA MISRA,INC,Uttar Pradesh,1984
BALLIA,JAGANNATH CHOWDHARI,INC,Uttar Pradesh,1984
GHOSI,RAJ KUMAR,INC,Uttar Pradesh,1984
AZAMGARH,SANTOSH KUMAR SINGH,INC,Uttar Pradesh,1984
LALGANJ (SC),RAMDHAN,INC,Uttar Pradesh,1984
MACHHLISHAHR,SRIPATI,INC,Uttar Pradesh,1984
JAUNPUR,KAMALA PRASAD SINGH,INC,Uttar Pradesh,1984
SAIDPUR (SC),RAM SMUJHAWAN,INC,Uttar Pradesh,1984
GHAZIPUR,ZAINUL BASHER,INC,Uttar Pradesh,1984
CHANDAULI,CHANDA TRIPATI,INC,Uttar Pradesh,1984
VARANASI,SHYAM LAL YADAVA,INC,Uttar Pradesh,1984
ROBERTSGANJ (SC),RAM PYARE,INC,Uttar Pradesh,1984
MIRZAPUR,UMA KANT MISHRA,INC,Uttar Pradesh,1984
PHULPUR,RAM PUJAN PATEL,INC,Uttar Pradesh,1984
ALLAHABAD,AMITABH BACHCHAN,INC,Uttar Pradesh,1984
CHAIL (SC),BIHARI LAL SHAILESH,INC,Uttar Pradesh,1984
FATEHPUR,HARI KRISHNA SHASTRI,INC,Uttar Pradesh,1984
BANDA,BHISM DEO DUBEY,INC,Uttar Pradesh,1984
HAMIRPUR,SWAMI PRASAD SINGH,INC,Uttar Pradesh,1984
JHANSI,SUJAN SINGH BUNDELA,INC,Uttar Pradesh,1984
JALAUN (SC),LACHHI RAM,INC,Uttar Pradesh,1984
GHATAMPUR (SC),ASKARAN,INC,Uttar Pradesh,1984
BILHAUR,JAGDISH AWASTHI,INC,Uttar Pradesh,1984
KANPUR,NARESH CHANDRA CHATURVEDI,INC,Uttar Pradesh,1984
ETAWAH,RAGHURAJ SINGH,INC,Uttar Pradesh,1984
KANNAUJ,SHEILA DIXIT,INC,Uttar Pradesh,1984
